date_time,SoC,state,price
2023-08-01 07:55:00,0.7387499999999998,regd,2.2303
2023-08-01 08:00:00,0.735972222222222,regu,20.2787
2023-08-01 08:05:00,0.7383333333333331,regd,27.7645
2023-08-01 08:10:00,0.7355555555555553,regu,20.7497
2023-08-01 08:15:00,0.7327777777777775,regu,21.3219
2023-08-01 08:20:00,0.7351388888888887,regd,2.3303
2023-08-01 08:25:00,0.7323611111111109,regu,25.0998
2023-08-01 08:30:00,0.7295833333333331,regu,24.0297
2023-08-01 08:35:00,0.7268055555555554,regu,23.1991
2023-08-01 08:40:00,0.7240277777777776,regu,49.6582
2023-08-01 08:45:00,0.7212499999999998,regu,27.73
2023-08-01 08:50:00,0.7184722222222221,regu,28.128
2023-08-01 08:55:00,0.7156944444444443,regu,25.3621
2023-08-01 09:00:00,0.7129166666666665,regu,22.9963
2023-08-01 09:05:00,0.724722222222222,c,-24.8752
2023-08-01 09:10:00,0.7270833333333331,regd,2.4412
2023-08-01 09:15:00,0.7388888888888886,c,-23.105
2023-08-01 09:20:00,0.7506944444444441,c,-27.6601
2023-08-01 09:25:00,0.7530555555555551,regd,1.3455
2023-08-01 09:30:00,0.7502777777777774,regu,20.1429
2023-08-01 09:35:00,0.7526388888888885,regd,1.3453
2023-08-01 09:40:00,0.7549999999999997,regd,1.3453
2023-08-01 09:45:00,0.7573611111111108,regd,1.2788
2023-08-01 09:50:00,0.759722222222222,regd,1.2788
2023-08-01 09:55:00,0.7715277777777774,c,-22.1535
2023-08-01 10:00:00,0.7833333333333329,c,-25.7135
2023-08-01 10:05:00,0.7951388888888884,c,-25.661
2023-08-01 10:10:00,0.8069444444444439,c,-23.587
2023-08-01 10:15:00,0.8187499999999994,c,-25.0743
2023-08-01 10:20:00,0.8305555555555549,c,-26.3465
2023-08-01 10:25:00,0.8423611111111104,c,-28.8806
2023-08-01 10:30:00,0.854166666666666,c,-30.5377
2023-08-01 10:35:00,0.8565277777777771,regd,1.061
2023-08-01 10:40:00,0.8683333333333327,c,-30.5063
2023-08-01 10:45:00,0.8801388888888882,c,-30.0824
2023-08-01 10:50:00,0.8919444444444439,c,-30.3193
2023-08-01 10:55:00,0.8943055555555549,regd,1.0791
2023-08-01 11:00:00,0.8966666666666661,regd,1.061
2023-08-01 11:05:00,0.9084722222222216,c,-32.5136
2023-08-01 11:10:00,0.9108333333333327,regd,0.95
2023-08-01 11:15:00,0.8969444444444439,d,84.8142
2023-08-01 11:20:00,0.899305555555555,regd,1.0083
2023-08-01 11:25:00,0.9016666666666662,regd,0.9521
2023-08-01 11:30:00,0.9040277777777773,regd,1.0083
2023-08-01 11:35:00,0.9063888888888885,regd,0.9499
2023-08-01 11:40:00,0.9087499999999995,regd,0.952
2023-08-01 11:45:00,0.9111111111111106,regd,1.0085
2023-08-01 11:50:00,0.9134722222222217,regd,0.9501
2023-08-01 11:55:00,0.9158333333333328,regd,1.0087
2023-08-01 12:00:00,0.918194444444444,regd,1.0087
2023-08-01 12:05:00,0.920555555555555,regd,2.0754
2023-08-01 12:10:00,0.9229166666666662,regd,2.0619
2023-08-01 12:15:00,0.9252777777777773,regd,1.4575
2023-08-01 12:20:00,0.9276388888888883,regd,1.4575
2023-08-01 12:25:00,0.9299999999999995,regd,1.4575
2023-08-01 12:30:00,0.9323611111111115,regd,1.4571
2023-08-01 12:35:00,0.9323611111111115,supr,0.7503
2023-08-01 12:40:00,0.9295833333333338,regu,22.0432
2023-08-01 12:45:00,0.926805555555556,regu,26.5045
2023-08-01 12:50:00,0.9240277777777782,regu,22.448
2023-08-01 12:55:00,0.9263888888888893,regd,2.0619
2023-08-01 13:00:00,0.9287500000000004,regd,2.0738
2023-08-01 13:05:00,0.9311111111111116,regd,2.0742
2023-08-01 13:10:00,0.9334722222222226,regd,2.0619
2023-08-01 13:15:00,0.9358333333333337,regd,2.0742
2023-08-01 13:20:00,0.9381944444444449,regd,2.0742
2023-08-01 13:25:00,0.9405555555555559,regd,2.0754
2023-08-01 13:30:00,0.9429166666666671,regd,2.0754
2023-08-01 13:35:00,0.9290277777777782,d,65.2003
2023-08-01 13:40:00,0.9151388888888967,d,73.1542
2023-08-01 13:45:00,0.9012500000000079,d,72.001
2023-08-01 13:50:00,0.887361111111119,d,91.2404
2023-08-01 13:55:00,0.8734722222222302,d,89.955
2023-08-01 14:00:00,0.8595833333333414,d,66.1655
2023-08-01 14:05:00,0.8619444444444525,regd,2.076
2023-08-01 14:10:00,0.8643055555555635,regd,2.0777
2023-08-01 14:15:00,0.8666666666666747,regd,2.0742
2023-08-01 14:20:00,0.8527777777777859,d,75.2379
2023-08-01 14:25:00,0.8388888888888969,d,70.9715
2023-08-01 14:30:00,0.8250000000000081,d,73.9237
2023-08-01 14:35:00,0.8111111111111192,d,70.1418
2023-08-01 14:40:00,0.7972222222222304,d,75.7823
2023-08-01 14:45:00,0.783333333333341,d,72.4234
2023-08-01 14:50:00,0.7694444444444521,d,71.2315
2023-08-01 14:55:00,0.7555555555555633,d,69.9627
2023-08-01 15:00:00,0.7416666666666745,d,70.8988
2023-08-01 15:05:00,0.7277777777777856,d,70.1637
2023-08-01 15:10:00,0.7301388888888968,regd,2.0777
2023-08-01 15:15:00,0.7162500000000079,d,69.4524
2023-08-01 15:20:00,0.702361111111119,d,77.8916
2023-08-01 15:25:00,0.6884722222222301,d,80.9479
2023-08-01 15:30:00,0.6745833333333413,d,97.8146
2023-08-01 15:35:00,0.6606944444444525,d,76.5993
2023-08-01 15:40:00,0.6468055555555636,d,75.8015
2023-08-01 15:45:00,0.6329166666666748,d,80.246
2023-08-01 15:50:00,0.619027777777786,d,88.1968
2023-08-01 15:55:00,0.6051388888888971,d,113.1419
2023-08-01 16:00:00,0.5912500000000082,d,115.5915
2023-08-01 16:05:00,0.5773611111111193,d,91.5973
2023-08-01 16:10:00,0.5634722222222305,d,89.4748
2023-08-01 16:15:00,0.5495833333333416,d,109.6805
2023-08-01 16:20:00,0.5356944444444527,d,102.9852
2023-08-01 16:25:00,0.5218055555555638,d,91.6765
2023-08-01 16:30:00,0.5079166666666746,d,96.698
2023-08-01 16:35:00,0.49402777777778567,d,82.8505
2023-08-01 16:40:00,0.4801388888888968,d,83.8332
2023-08-01 16:45:00,0.4662500000000079,d,85.4459
2023-08-01 16:50:00,0.452361111111119,d,85.2015
2023-08-01 16:55:00,0.4384722222222301,d,81.443
2023-08-01 17:00:00,0.4245833333333412,d,85.5926
2023-08-01 17:05:00,0.4269444444444523,regd,2.231
2023-08-01 17:10:00,0.4130555555555634,d,76.3164
2023-08-01 17:15:00,0.39916666666667455,d,71.8405
2023-08-01 17:20:00,0.38527777777778566,d,73.8029
2023-08-01 17:25:00,0.37138888888889676,d,73.1487
2023-08-01 17:30:00,0.35750000000000787,d,71.0076
2023-08-01 17:35:00,0.35986111111111896,regd,2.231
2023-08-01 17:40:00,0.3622222222222301,regd,2.2311
2023-08-01 17:45:00,0.3645833333333412,regd,2.231
2023-08-01 17:50:00,0.3669444444444523,regd,2.231
2023-08-01 17:55:00,0.36930555555556344,regd,2.371
2023-08-01 18:00:00,0.37166666666667453,regd,2.231
2023-08-01 18:05:00,0.35777777777778563,d,69.1906
2023-08-01 18:10:00,0.3438888888888968,d,74.7632
2023-08-01 18:15:00,0.3300000000000079,d,67.5658
2023-08-01 18:20:00,0.316111111111119,d,67.3166
2023-08-01 18:25:00,0.3022222222222301,d,68.6082
2023-08-01 18:30:00,0.2883333333333412,d,72.5271
2023-08-01 18:35:00,0.2744444444444523,d,68.5873
2023-08-01 18:40:00,0.2605555555555634,d,71.0705
2023-08-01 18:45:00,0.24666666666667453,d,67.1451
2023-08-01 18:50:00,0.23277777777778563,d,71.1268
2023-08-01 18:55:00,0.23513888888889675,regd,2.209
2023-08-01 19:00:00,0.23750000000000787,regd,2.209
2023-08-01 19:05:00,0.239861111111119,regd,2.2411
2023-08-01 19:10:00,0.2422222222222301,regd,4.6149
2023-08-01 19:15:00,0.2445833333333412,regd,4.978
2023-08-01 19:20:00,0.24694444444445232,regd,2.241
2023-08-01 19:25:00,0.24930555555556344,regd,2.241
2023-08-01 19:30:00,0.25166666666667453,regd,2.241
2023-08-01 19:35:00,0.2540277777777857,regd,2.241
2023-08-01 19:40:00,0.25638888888889677,regd,3.4154
2023-08-01 19:45:00,0.25875000000000786,regd,2.8007
2023-08-01 19:50:00,0.261111111111119,regd,2.241
2023-08-01 19:55:00,0.2634722222222301,regd,3.2033
2023-08-01 20:00:00,0.2658333333333412,regd,2.241
2023-08-01 20:05:00,0.26819444444445234,regd,2.355
2023-08-01 20:10:00,0.27055555555556343,regd,2.355
2023-08-01 20:15:00,0.2729166666666746,regd,2.355
2023-08-01 20:20:00,0.27527777777778567,regd,2.3551
2023-08-01 20:25:00,0.27763888888889676,regd,2.6537
2023-08-01 20:30:00,0.28944444444445233,c,-28.3942
2023-08-01 20:35:00,0.30125000000000784,c,-25.7485
2023-08-01 20:40:00,0.3130555555555634,c,-23.5776
2023-08-01 20:45:00,0.324861111111119,c,-23.7525
2023-08-01 20:50:00,0.33666666666667455,c,-26.2019
2023-08-01 20:55:00,0.3484722222222301,c,-22.6478
2023-08-01 21:00:00,0.35083333333334127,regd,7.3509
2023-08-01 21:05:00,0.35319444444445236,regd,3.0451
2023-08-01 21:10:00,0.36500000000000793,c,-27.4513
2023-08-01 21:15:00,0.367361111111119,regd,2.4363
2023-08-01 21:20:00,0.3697222222222301,regd,2.4362
2023-08-01 21:25:00,0.3815277777777857,c,-24.1582
2023-08-01 21:30:00,0.3933333333333424,c,-22.6828
2023-08-01 21:35:00,0.405138888888898,c,-21.354
2023-08-01 21:40:00,0.41694444444445355,c,-24.1735
2023-08-01 21:45:00,0.4287500000000091,c,-20.2859
2023-08-01 21:50:00,0.44055555555556464,c,-21.6966
2023-08-01 21:55:00,0.4523611111111202,c,-22.1771
2023-08-01 22:00:00,0.4641666666666758,c,-19.3881
2023-08-01 22:05:00,0.46652777777778687,regd,8.5399
2023-08-01 22:10:00,0.468888888888898,regd,8.7867
2023-08-01 22:15:00,0.4712500000000091,regd,8.0169
2023-08-01 22:20:00,0.4736111111111202,regd,4.8856
2023-08-01 22:25:00,0.47597222222223134,regd,7.3686
2023-08-01 22:30:00,0.47833333333334244,regd,11.2834
2023-08-01 22:35:00,0.48069444444445353,regd,10.3488
2023-08-01 22:40:00,0.4830555555555647,regd,9.5475
2023-08-01 22:45:00,0.48541666666667577,regd,9.3209
2023-08-01 22:50:00,0.48777777777778686,regd,9.4762
2023-08-01 22:55:00,0.490138888888898,regd,6.6019
2023-08-01 23:00:00,0.4925000000000091,regd,10.4399
2023-08-01 23:05:00,0.4948611111111202,regd,6.1848
2023-08-01 23:10:00,0.4972222222222313,regd,7.1074
2023-08-01 23:15:00,0.49958333333334237,regd,6.1369
2023-08-01 23:20:00,0.5019444444444534,regd,6.6815
2023-08-01 23:25:00,0.5043055555555646,regd,4.4906
2023-08-01 23:30:00,0.5066666666666757,regd,5.758
2023-08-01 23:35:00,0.5090277777777867,regd,4.4906
2023-08-01 23:40:00,0.5113888888888979,regd,2.5001
2023-08-01 23:45:00,0.513750000000009,regd,4.4906
2023-08-01 23:50:00,0.5161111111111201,regd,5.5159
2023-08-01 23:55:00,0.5184722222222312,regd,2.7214
2023-08-02 00:00:00,0.5208333333333424,regd,4.6964
2023-08-02 00:05:00,0.5231944444444535,regd,6.5336
2023-08-02 00:10:00,0.5255555555555647,regd,6.2865
2023-08-02 00:15:00,0.5279166666666757,regd,4.4297
2023-08-02 00:20:00,0.5251388888888979,regu,23.8853
2023-08-02 00:25:00,0.5223611111111202,regu,26.876
2023-08-02 00:30:00,0.5341666666666757,c,-16.122
2023-08-02 00:35:00,0.5459722222222313,c,-15.582
2023-08-02 00:40:00,0.5577777777777868,c,-14.5245
2023-08-02 00:45:00,0.560138888888898,regd,7.8217
2023-08-02 00:50:00,0.5719444444444535,c,-14.3385
2023-08-02 00:55:00,0.5743055555555646,regd,7.1542
2023-08-02 01:00:00,0.5766666666666758,regd,6.4054
2023-08-02 01:05:00,0.5884722222222313,c,-14.8428
2023-08-02 01:10:00,0.6002777777777868,c,-14.0459
2023-08-02 01:15:00,0.6120833333333423,c,-15.5499
2023-08-02 01:20:00,0.6144444444444535,regd,5.6474
2023-08-02 01:25:00,0.6168055555555645,regd,5.7086
2023-08-02 01:30:00,0.6286111111111201,c,-15.7886
2023-08-02 01:35:00,0.6309722222222313,regd,8.0354
2023-08-02 01:40:00,0.6333333333333423,regd,4.4248
2023-08-02 01:45:00,0.6451388888888979,c,-15.7044
2023-08-02 01:50:00,0.647500000000009,regd,5.6862
2023-08-02 01:55:00,0.6498611111111201,regd,7.6274
2023-08-02 02:00:00,0.6522222222222313,regd,4.1727
2023-08-02 02:05:00,0.6545833333333424,regd,2.5035
2023-08-02 02:10:00,0.6569444444444534,regd,3.1965
2023-08-02 02:15:00,0.6593055555555646,regd,3.4138
2023-08-02 02:20:00,0.6616666666666757,regd,3.4138
2023-08-02 02:25:00,0.6640277777777869,regd,5.3034
2023-08-02 02:30:00,0.6758333333333424,c,-13.1835
2023-08-02 02:35:00,0.6876388888888979,c,-12.6885
2023-08-02 02:40:00,0.6994444444444535,c,-11.9751
2023-08-02 02:45:00,0.711250000000009,c,-9.824
2023-08-02 02:50:00,0.7230555555555646,c,-12.6966
2023-08-02 02:55:00,0.7348611111111201,c,-12.9474
2023-08-02 03:00:00,0.7372222222222312,regd,4.4332
2023-08-02 03:05:00,0.7395833333333424,regd,2.5
2023-08-02 03:10:00,0.7419444444444534,regd,2.6106
2023-08-02 03:15:00,0.7443055555555645,regd,4.3665
2023-08-02 03:20:00,0.7466666666666757,regd,4.3152
2023-08-02 03:25:00,0.7490277777777868,regd,5.0607
2023-08-02 03:30:00,0.7608333333333424,c,-13.3432
2023-08-02 03:35:00,0.7631944444444534,regd,6.197
2023-08-02 03:40:00,0.7750000000000088,c,-8.6177
2023-08-02 03:45:00,0.7773611111111199,regd,4.3881
2023-08-02 03:50:00,0.7797222222222311,regd,2.5
2023-08-02 03:55:00,0.7820833333333422,regd,3.4272
2023-08-02 04:00:00,0.7844444444444534,regd,3.7356
2023-08-02 04:05:00,0.7868055555555645,regd,4.4413
2023-08-02 04:10:00,0.79861111111112,c,-12.0108
2023-08-02 04:15:00,0.8104166666666757,c,-9.6701
2023-08-02 04:20:00,0.8222222222222312,c,-12.3069
2023-08-02 04:25:00,0.8340277777777867,c,-12.9875
2023-08-02 04:30:00,0.8458333333333422,c,-13.1327
2023-08-02 04:35:00,0.8576388888888978,c,-13.1964
2023-08-02 04:40:00,0.8694444444444533,c,-11.1204
2023-08-02 04:45:00,0.8555555555555644,d,96.9733
2023-08-02 04:50:00,0.8416666666666756,d,60.4445
2023-08-02 04:55:00,0.8388888888888978,regu,119.0
2023-08-02 05:00:00,0.8412500000000089,regd,2.271
2023-08-02 05:05:00,0.8436111111111201,regd,2.4136
2023-08-02 05:10:00,0.8554166666666756,c,-14.3091
2023-08-02 05:15:00,0.8526388888888978,regu,19.7274
2023-08-02 05:20:00,0.8550000000000089,regd,2.4137
2023-08-02 05:25:00,0.85736111111112,regd,2.4137
2023-08-02 05:30:00,0.8545833333333422,regu,19.7274
2023-08-02 05:35:00,0.8569444444444534,regd,2.4137
2023-08-02 05:40:00,0.8593055555555644,regd,2.4136
2023-08-02 05:45:00,0.8616666666666756,regd,2.4136
2023-08-02 05:50:00,0.8640277777777867,regd,2.4137
2023-08-02 05:55:00,0.8663888888888978,regd,2.4136
2023-08-02 06:00:00,0.8687500000000089,regd,2.0794
2023-08-02 06:05:00,0.865972222222231,regu,106.4024
2023-08-02 06:10:00,0.8683333333333422,regd,2.4566
2023-08-02 06:15:00,0.8706944444444533,regd,2.4567
2023-08-02 06:20:00,0.8730555555555644,regd,2.4566
2023-08-02 06:25:00,0.8702777777777866,regu,19.2544
2023-08-02 06:30:00,0.8675000000000088,regu,21.5306
2023-08-02 06:35:00,0.864722222222231,regu,20.602
2023-08-02 06:40:00,0.8619444444444533,regu,29.5351
2023-08-02 06:45:00,0.8591666666666755,regu,23.9705
2023-08-02 06:50:00,0.8563888888888977,regu,71.7144
2023-08-02 06:55:00,0.85361111111112,regu,21.452
2023-08-02 07:00:00,0.8508333333333422,regu,21.1601
2023-08-02 07:05:00,0.8480555555555644,regu,119.0
2023-08-02 07:10:00,0.8452777777777867,regu,119.0
2023-08-02 07:15:00,0.8425000000000088,regu,29.5356
2023-08-02 07:20:00,0.839722222222231,regu,25.1008
2023-08-02 07:25:00,0.8369444444444533,regu,25.1008
2023-08-02 07:30:00,0.8341666666666755,regu,25.1008
2023-08-02 07:35:00,0.8313888888888977,regu,25.1008
2023-08-02 07:40:00,0.82861111111112,regu,25.1008
2023-08-02 07:45:00,0.8258333333333422,regu,20.8219
2023-08-02 07:50:00,0.8230555555555644,regu,20.1062
2023-08-02 07:55:00,0.8202777777777867,regu,19.7279
2023-08-02 08:00:00,0.8175000000000089,regu,20.563
2023-08-02 08:05:00,0.8198611111111199,regd,2.3303
2023-08-02 08:10:00,0.8222222222222311,regd,2.3302
2023-08-02 08:15:00,0.8340277777777866,c,-27.3301
2023-08-02 08:20:00,0.8363888888888977,regd,2.3302
2023-08-02 08:25:00,0.8481944444444531,c,-23.5478
2023-08-02 08:30:00,0.8505555555555643,regd,2.3302
2023-08-02 08:35:00,0.8477777777777865,regu,21.3421
2023-08-02 08:40:00,0.8501388888888977,regd,2.3302
2023-08-02 08:45:00,0.8525000000000087,regd,2.3302
2023-08-02 08:50:00,0.8548611111111198,regd,2.3302
2023-08-02 08:55:00,0.8572222222222311,regd,2.3302
2023-08-02 09:00:00,0.8595833333333421,regd,2.0793
2023-08-02 09:05:00,0.8619444444444533,regd,2.0701
2023-08-02 09:10:00,0.8643055555555644,regd,1.3123
2023-08-02 09:15:00,0.8666666666666755,regd,1.6148
2023-08-02 09:20:00,0.8690277777777866,regd,1.6494
2023-08-02 09:25:00,0.8713888888888978,regd,2.0695
2023-08-02 09:30:00,0.8737500000000088,regd,1.3659
2023-08-02 09:35:00,0.87611111111112,regd,1.3123
2023-08-02 09:40:00,0.8784722222222311,regd,1.6599
2023-08-02 09:45:00,0.8808333333333421,regd,2.0695
2023-08-02 09:50:00,0.8831944444444533,regd,2.0695
2023-08-02 09:55:00,0.8855555555555644,regd,1.6822
2023-08-02 10:00:00,0.8879166666666756,regd,1.3778
2023-08-02 10:05:00,0.8997222222222311,c,-23.0525
2023-08-02 10:10:00,0.9115277777777866,c,-28.3846
2023-08-02 10:15:00,0.9233333333333421,c,-27.4828
2023-08-02 10:20:00,0.9256944444444533,regd,2.0695
2023-08-02 10:25:00,0.9280555555555644,regd,2.0695
2023-08-02 10:30:00,0.9304166666666754,regd,2.0701
2023-08-02 10:35:00,0.9327777777777866,regd,2.0695
2023-08-02 10:40:00,0.9351388888888977,regd,2.0695
2023-08-02 10:45:00,0.9375000000000088,regd,2.0695
2023-08-02 10:50:00,0.9398611111111199,regd,2.0695
2023-08-02 10:55:00,0.925972222222231,d,71.8959
2023-08-02 11:00:00,0.9120833333333421,d,1425.6799
2023-08-02 11:05:00,0.9093055555555644,regu,94.8301
2023-08-02 11:10:00,0.9116666666666755,regd,2.0695
2023-08-02 11:15:00,0.9140277777777865,regd,2.0746
2023-08-02 11:20:00,0.9163888888888977,regd,2.0695
2023-08-02 11:25:00,0.9187500000000088,regd,2.3383
2023-08-02 11:30:00,0.9211111111111199,regd,2.0746
2023-08-02 11:35:00,0.923472222222231,regd,2.0695
2023-08-02 11:40:00,0.9095833333333422,d,80.4085
2023-08-02 11:45:00,0.9119444444444532,regd,2.0695
2023-08-02 11:50:00,0.9143055555555644,regd,2.133
2023-08-02 11:55:00,0.9166666666666755,regd,2.3383
2023-08-02 12:00:00,0.9190277777777865,regd,6.8722
2023-08-02 12:05:00,0.9213888888888977,regd,2.3146
2023-08-02 12:10:00,0.9237500000000088,regd,2.3146
2023-08-02 12:15:00,0.9261111111111199,regd,2.3147
2023-08-02 12:20:00,0.928472222222231,regd,2.3146
2023-08-02 12:25:00,0.9308333333333422,regd,2.0741
2023-08-02 12:30:00,0.9331944444444532,regd,1.71
2023-08-02 12:35:00,0.9355555555555644,regd,1.9418
2023-08-02 12:40:00,0.9379166666666755,regd,1.0791
2023-08-02 12:45:00,0.9402777777777865,regd,1.7132
2023-08-02 12:50:00,0.9426388888888977,regd,1.7132
2023-08-02 12:55:00,0.9450000000000088,regd,2.057
2023-08-02 13:00:00,0.9311111111111199,d,79.9295
2023-08-02 13:05:00,0.933472222222231,regd,4.8893
